config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(2, 0.1, 0.0005)",2,0.1,0.0005,10,0.01817268133163452,1.011120569837228,0.1882273114417455,0.9635473880716009
"(2, 0.1, 0.0005)",2,0.1,0.0005,30,0.016779065132141113,1.0119316616269163,0.014163418935906351,0.950020120027292
"(2, 0.1, 0.0005)",2,0.1,0.0005,45,0.017695844173431396,0.9826814369420259,0.38577544156565086,0.9383987811160449
"(2, 0.1, 0.0005)",2,0.1,0.0005,99,0.017200231552124023,0.9816376046569095,0.3515381438339541,0.9320279847015274
"(2, 0.1, 0.0005)",2,0.1,0.0005,2048,0.015496134757995605,1.0009612754951551,0.28908717904841624,0.9240810347201326
"(3, 0.001, 1e-06)",3,0.001,1e-06,10,0.012923955917358398,0.7202142095174445,0.7032180220954335,0.2691758176821549
"(3, 0.001, 1e-06)",3,0.001,1e-06,30,0.012241721153259277,0.6785762466183097,0.7079640718959612,0.5345553020065655
"(3, 0.001, 1e-06)",3,0.001,1e-06,45,0.01267784833908081,0.7180114488575524,0.685871555486831,0.5092652157251872
"(3, 0.001, 1e-06)",3,0.001,1e-06,99,0.011888444423675537,1.0008424121278185,0.653972069627629,0.7671943519846222
"(3, 0.001, 1e-06)",3,0.001,1e-06,2048,0.013012290000915527,0.704747434801276,0.6388802052040897,0.4293948908659473
"(3, 0.001, 1e-05)",3,0.001,1e-05,10,0.013013184070587158,0.8191772976047353,0.3934697054524253,0.609113574825136
"(3, 0.001, 1e-05)",3,0.001,1e-05,30,0.010870516300201416,0.9720581525355231,0.7060880879914457,0.8989990185136872
"(3, 0.001, 1e-05)",3,0.001,1e-05,45,0.01729714870452881,0.962948624745736,0.12361888247142619,0.7542202939885567
"(3, 0.001, 1e-05)",3,0.001,1e-05,99,0.011591672897338867,0.9981121908013793,0.23865379801538272,0.7811482412184475
"(3, 0.001, 1e-05)",3,0.001,1e-05,2048,0.013938665390014648,0.9320611220495992,0.07917663224564507,0.7044501303205363
